Country;Name;UNLocode;Latitude;Longitude;H3_hex_8;H3_int_index_8;H3_ring;H3_res
IT;OFFSHORE_61;ITP061;44,475986;12,453451;881ea066bbfffff;613028337555603455;2;8
IT;OFFSHORE_93;ITP093;43,764413;14,215197;881eae4453fffff;613029290438557695;2;8
IT;OFFSHORE_6;ITP006;44,348645;12,588894;881ea3836dfffff;613028551452524543;2;8
IT;OFFSHORE_85;ITP085;42,938165;14,23388;881e852001fffff;613026463228100607;2;8
IT;OFFSHORE_52;ITP052;42,897839;14,246376;881e8521c3fffff;613026463662211071;2;8
IT;OFFSHORE_54;ITP054;44,108865;13,648827;881eaed8edfffff;613029330137645055;2;8
IT;OFFSHORE_30;ITP030;45,183634;12,591285;881ea0a66dfffff;613028354695626751;2;8
IT;OFFSHORE_1;ITP001;44,511732;12,359708;881ea06655fffff;613028337475911679;2;8
IT;OFFSHORE_28;ITP028;44,523055;12,510533;881ea029b9fffff;613028321197817855;2;8
IT;OFFSHORE_39;ITP039;44,405721;12,660845;881ea39193fffff;613028555007197183;2;8
IT;OFFSHORE_77;ITP077;44,540237;12,495601;881ea02989fffff;613028321250246655;2;8
IT;OFFSHORE_32;ITP032;37,00661;13,623818;883f345523fffff;613601453321224191;2;8
